Date,Close
2023-09-21,172.8544
2023-09-22,173.7090
2023-09-25,174.9910
2023-09-26,170.8965
2023-09-27,169.3760
2023-09-28,169.6344
2023-09-29,170.1512
2023-10-02,172.6755
2023-10-03,171.3338
2023-10-04,172.5860
2023-10-05,173.8283
2023-10-06,176.3923
2023-10-09,177.8831
2023-10-10,177.2868
2023-10-11,178.6880
2023-10-12,179.5924
2023-10-13,177.7439
2023-10-16,177.6147
2023-10-17,176.0544
2023-10-18,174.7525
2023-10-19,174.3749
2023-10-20,171.8108
2023-10-23,171.9301
2023-10-24,172.3674
2023-10-25,170.0419
2023-10-26,165.8579
2023-10-27,167.1797
2023-10-30,169.2368
2023-10-31,169.7139
2023-11-01,172.8941
2023-11-02,176.4718
2023-11-03,175.5575
2023-11-06,178.1216
2023-11-07,180.6955
2023-11-08,181.7589
2023-11-09,181.2819
2023-11-10,185.4913
2023-11-13,183.8991
2023-11-14,186.5262
2023-11-15,187.0934
2023-11-16,188.7852
2023-11-17,188.7652
2023-11-20,190.5166
2023-11-21,189.7106
2023-11-22,190.3773
2023-11-24,189.0439
2023-11-27,188.8647
2023-11-28,189.4718
2023-11-29,188.4468
2023-11-30,189.0240
2023-12-01,190.3077
2023-12-04,188.5065
2023-12-05,192.4771
2023-12-06,191.3824
2023-12-07,193.3229
2023-12-08,194.7559
2023-12-11,192.2382
2023-12-12,193.7608
2023-12-13,196.9949
2023-12-14,197.1442
2023-12-15,196.6068
2023-12-18,194.9350
2023-12-19,195.9799
2023-12-20,193.8802
2023-12-21,193.7309
2023-12-22,192.6562
2023-12-26,192.1089
2023-12-27,192.2084
2023-12-28,192.6363
2023-12-29,191.5914
2024-01-02,184.7350
2024-01-03,183.3518
2024-01-04,181.0232
2024-01-05,180.2967
2024-01-08,184.6554
2024-01-09,184.2374
2024-01-10,185.2823
2024-01-11,184.6852
2024-01-12,185.0136
2024-01-16,182.7348
2024-01-17,181.7894
2024-01-18,187.7104
2024-01-19,190.6261
2024-01-22,192.9447
2024-01-23,194.2285
2024-01-24,193.5518
2024-01-25,193.2234
2024-01-26,191.4819
2024-01-29,190.7953
2024-01-30,187.1233
2024-01-31,183.5010
2024-02-01,185.9490
2024-02-02,184.9440
2024-02-05,186.7650
2024-02-06,188.3771
2024-02-07,188.4866
2024-02-08,187.4019
2024-02-09,188.1691
2024-02-12,186.4753
2024-02-13,184.3729
2024-02-14,183.4861
2024-02-15,183.1971
2024-02-16,181.6527
2024-02-20,180.9054
2024-02-21,181.6627
2024-02-22,183.7053
2024-02-23,181.8620
2024-02-26,180.5069
2024-02-27,181.9716
2024-02-28,180.7659
2024-02-29,180.0983
2024-03-01,179.0123
2024-03-04,174.4687
2024-03-05,169.5067
2024-03-06,168.5103
2024-03-07,168.3907
2024-03-08,170.1145
2024-03-11,172.1272
2024-03-12,172.6054
2024-03-13,170.5130
2024-03-14,172.3763
2024-03-15,171.9977
2024-03-18,173.0937
2024-03-19,175.4452
2024-03-20,178.0258
2024-03-21,170.7522
2024-03-22,171.6589
2024-03-25,170.2340
2024-03-26,169.0981
